Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C104, C105, C107, C218",0805,5,100nF,
"C102, C103, C106, C108, C112, C204, C217, C301",0805,8,470nF,
"C109, C201, C203, C205, C206, C207, C208, C210, C216, C299",0805,10,10uF,
C110,1210,1,22uF,
"C111, C215",C_2917,2,47uF low ESR,
"C202, C209",0805,2,10nF,
"C302, C305",0805,2,1100pF,
C303,0805,1,1800pF,
C304,0805,1,91pF,
"D101, D102",D_SOD-523,2,1N914WT,
D103,0805,1,Red LED,
D104,0805,1,Green LED,
"D105, D106, D108, D109, D110, D111, D112",0603,7,ESD9B5.0ST5G_1,
"D107, D115, D203, D204, D206, D207",D_SOD-123FL,6,Schottky Diode,
D201,SC-59,1,BAT54C,
D202,D_SMB,1,B330A Schottky Diode,
"D208, D209",D_SOD-123F,2,1N4001,
F201,1812,1,2.6A,
"J101, J103, J104, J106",PinSocket_1x02_P2.54mm_Vertical,4,Conn_01x02,
J102,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J105,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J107,DSUB-9_Female_EdgeMount_P2.77mm,1,DB9 Female,
J201,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1,Barrel_Jack_Switch,
J203,PinHeader_1x02_P2.54mm_Vertical,1,External Fan Power,
J204,PinHeader_1x02_P2.54mm_Vertical,1,Controlled Fan Power,
J205,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Controlled Bat Pwr,
J301,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,To Antenna,
JP101,Jumper_THT_1x03_Bridged12_P1.27mm_Vertical,1,Jumper_3_Bridged12,
JP102,Jumper_THT_1x02_P1.27mm_Vertical,1,Jumper_2_Bridged,
JP201,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,V-ext disable,
JP202,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Ext-to-Linear,
JP203,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Ext-to-Boost,
JP204,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Internal_V_Enable,
L101,Toroid_T-50A_TH_BF_CT_Vertical,1,9T #24 Bifilar T50-43,
L201,WPN4020H2R2MT,1,2.2uH,
L301,Toroid_T-60_2TH_Vertical,1,2.7uH,
L302,Toroid_T-60_2TH_Vertical2,1,2.7uH,
MOD201,PinHeader_1x04_P2.54mm_Vertical,1,AdaFruit Charger,
P101,PinHeader_2x03_P2.54mm_Vertical_SMD,1,ISP/PDI,
Q101,SOT-323_SC-70,1,NTS4173PT1G,
Q102,SOT-323_SC-70,1,BSS138W-7-F,
Q103,TO-220_Neutral123_Vertical_LargePads,1,IRF610,
"R1, R2",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,TBD,
R101,0805,1,105k,
"R102, R110, R204",0805,3,162k,
"R103, R205",0805,2,12.4k,
R104,0805,1,1k,
R105,0805,1,220,
R106,0805,1,47k,
"R107, R108",0805,2,10k,
R109,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,47 0.5W,
SW101,SW_SPST_TL1014BF160QG,1,SW_SPST,
TP101,PinHeader_1x04_P2.54mm_Vertical,1,I2C1,
U101,SOIC-28W_7.5x17.9mm_P1.27mm,1,AVR128DA28,
U102,MSOP-10_3x3mm_P0.5mm,1,SI5351,
"U103, U204, U206",SOT-23-6,3,TPS22810DBVT,
U104,SOT-23-6-LM5134,1,LM5134,
"U201, U202",SOT-23-5,2,LP2985-3.3,
U203,TO-220-3_Horizontal_TabDown,1,TO-220 ADJ Reg.,
U205,SOT-223-4,1,uA7805,
W101,Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small,1,T2,
X101,Oscillator_SMD_ECS_327TXO,1,ECS-327TXO-30-TR,
X102,Crystal_SMD_TXETCLSANF-4Pin,1,25 MHz,
