Designator,Mid X,Mid Y,Rotation,Layer
C101,71.25,-78.75,180.0,top
C102,80.5,-89.0,270.0,top
C103,73.25,-74.0,0.0,top
C104,101.0,-72.12,270.0,top
C105,89.94,-100.63,90.0,top
C106,92.1,-100.87,90.0,top
C107,86.97,-104.17,180.0,top
C108,96.45,-106.29,270.0,top
C109,94.19,-96.8,0.0,top
C110,100.58,-109.48,180.0,top
C111,122.32,-113.92,0.0,top
C112,102.82,-116.33,0.0,top
C201,62.78,-93.46,0.0,top
C202,64.69,-89.88,180.0,top
C203,71.42,-93.17,180.0,top
C204,125.42,-76.68,0.0,top
C205,114.25,-89.0,90.0,top
C206,82.56,-98.06,270.0,top
C207,121.92,-85.86,180.0,top
C208,118.44,-88.78,270.0,top
C209,80.25,-106.09,270.0,top
C210,82.4,-106.09,90.0,top
C215,100.91,-89.02,0.0,top
C216,56.22,-62.89,180.0,top
C217,73.78,-102.94,270.0,top
C218,64.35,-103.86,270.0,top
C299,65.4,-63.2,90.0,top
C301,109.67,-98.28,90.0,top
C302,109.74,-94.65,90.0,top
C303,115.11,-102.19,90.0,top
C304,121.27,-101.68,180.0,top
C305,126.15,-101.04,0.0,top
D101,102.12,-69.54,0.0,top
D102,97.6,-79.2,180.0,top
D103,65.185,-114.3,90.0,top
D104,74.525,-114.3,90.0,top
D105,54.24,-90.8,180.0,top
D106,54.26,-93.55,0.0,top
D107,93.8,-93.35,90.0,top
D108,54.58,-86.02,180.0,top
D109,54.62,-83.84,180.0,top
D110,54.6,-89.09,0.0,top
D111,57.7,-96.12,270.0,top
D112,54.28,-96.25,0.0,top
D115,97.39,-93.08,0.0,top
D201,97.8,-72.87,270.0,top
D202,130.94,-79.17,0.0,top
D203,69.77,-99.76,180.0,top
D204,93.75,-63.75,270.0,top
D206,63.75,-99.59,270.0,top
D207,61.35,-99.63,270.0,top
D208,119.625,-82.4825,90.0,top
D209,117.225,-81.3625,90.0,top
F201,135.35,-73.05,180.0,top
J101,79.48,-110.685,270.0,top
J102,54.585,-114.71,270.0,bottom
J103,86.33,-110.825,270.0,top
J104,61.27,-113.05,180.0,top
J105,54.8625,-77.75,270.0,bottom
J106,70.41,-113.05,180.0,top
J107,48.1025,-89.4125,90.0,bottom
J201,115.28,-70.46,180.0,top
J203,52.57,-64.935,180.0,top
J204,60.9,-69.905,180.0,top
J205,74.25,-69.0,0.0,top
J301,130.94,-89.4125,270.0,top
JP101,105.055,-107.09,270.0,top
JP102,101.055,-112.79,270.0,top
L101,109.58,-111.85,90.0,top
L201,137.22,-78.82,270.0,top
L301,113.81,-99.11,0.0,top
L302,121.43,-99.4,0.0,top
MOD201,66.3875,-95.89,90.0,bottom
P101,87.96,-67.525,90.0,top
Q101,100.41,-66.64,270.0,top
Q102,103.19,-65.81,90.0,top
Q103,105.21,-101.64,50.0,top
R1,121.89,-90.27,0.0,top
R101,100.52,-63.03,180.0,top
R102,97.85,-69.68,0.0,top
R103,94.96,-71.25,90.0,top
R104,64.9925,-110.97,0.0,top
R105,74.335,-110.97,0.0,top
R106,57.26,-90.92,270.0,top
R107,93.9,-114.27,180.0,top
R108,97.43,-114.27,180.0,top
R109,108.97,-105.22,90.0,top
R110,102.25,-99.8,270.0,top
R2,121.79,-87.92,180.0,top
R204,76.31,-102.88,90.0,top
R205,76.27,-106.36,90.0,top
SW101,82.19,-116.19,0.0,top
TP101,95.56,-116.68,90.0,top
U101,82.5,-81.0,180.0,top
U102,92.19,-104.75,270.0,top
U103,98.0875,-97.6,180.0,top
U104,100.8,-106.02,0.0,top
U201,67.04,-92.75,0.0,top
U202,81.659792,-102.08,90.0,top
U203,113.535,-81.1,270.0,bottom
U204,60.1,-63.825,180.0,top
U205,69.1,-105.37,90.0,top
U206,64.55,-67.0625,90.0,top
W101,96.24191942669732,-105.66877048314363,250.0,top
X101,71.25,-82.5,0.0,top
X102,86.38,-100.68,180.0,top
